20stores/%FE%02,which called/%FE%02
20cache size1
13stores/%FE%0A,which called/%FE%0A
13cache size1
17stores/%FE%04,which called/%FE%04
17cache size1
34stores/%FE%05,which called/%FE%05
34cache size1
15stores/%FE%0A,which called/%FE%0A
15cache size1
19stores/%FE%03,which called/%FE%03
19cache size1
34gains102by cache/%FE%05
0stores/%FE%06,which called/%FE%06
0cache size1
15gains87by cache/%FE%0A
5stores/%FE%0A,which called/%FE%0A
5cache size1
35stores/%FE%05,which called/%FE%05
35cache size1
36stores/%FE%05,which called/%FE%05
36cache size1
5stores/%FE%0E,which called/%FE%0E
5cache size2
21stores/%FE%12,which called/%FE%12
21cache size1
0gains111by cache/%FE%06
10stores/%FE%05,which called/%FE%05
10cache size1
26stores/%FE%0A,which called/%FE%0A
26cache size1
25stores/%FE%0A,which called/%FE%0A
25cache size1
29stores/%FE%14,which called/%FE%14
29cache size1
18stores/%FE%14,which called/%FE%14
18cache size1
10gains96by cache/%FE%05
10stores/%FE%21,which called/%FE%21
10cache size2
35gains102by cache/%FE%05
10gains96by cache/%FE%05
21gains185by cache/%FE%12
12stores/%FE%12,which called/%FE%12
12cache size1
25gains96by cache/%FE%0A
20gains185by cache/%FE%02
19stores/%FE%0A,which called/%FE%0A
19cache size2
16stores/%FE%0A,which called/%FE%0A
16cache size1
19gains148by cache/%FE%03
20gains185by cache/%FE%02
17gains148by cache/%FE%04
36gains136by cache/%FE%05
34gains102by cache/%FE%05
10gains96by cache/%FE%05
19gains102by cache/%FE%0A
36gains136by cache/%FE%05
36gains136by cache/%FE%05
20stores/%FE%1C,which called/%FE%1C
20cache size2
0gains111by cache/%FE%06
34gains102by cache/%FE%05
13stores/%FE%16,which called/%FE%16
13cache size2
23stores/%FE%13,which called/%FE%13
23cache size1
36gains136by cache/%FE%05
0stores/%FE%1F,which called/%FE%1F
0cache size2
13gains102by cache/%FE%0A
18gains203by cache/%FE%14
18gains203by cache/%FE%14
19gains148by cache/%FE%03
35gains102by cache/%FE%05
29gains222by cache/%FE%14
0gains111by cache/%FE%06
20gains185by cache/%FE%02
15gains87by cache/%FE%0A
20gains185by cache/%FE%02
23gains185by cache/%FE%13
21gains185by cache/%FE%12
26gains95by cache/%FE%0A
21gains185by cache/%FE%12
10gains111by cache/%FE%21
20gains108by cache/%FE%1C
5gains111by cache/%FE%0E
10gains96by cache/%FE%05
20gains108by cache/%FE%1C
5gains84by cache/%FE%0A
19gains148by cache/%FE%03
17gains148by cache/%FE%04
15gains87by cache/%FE%0A
35gains102by cache/%FE%05
20gains185by cache/%FE%02
26gains95by cache/%FE%0A
34gains102by cache/%FE%05
5gains111by cache/%FE%0E
34gains102by cache/%FE%05
0gains111by cache/%FE%06
26gains95by cache/%FE%0A
34gains102by cache/%FE%05
18gains203by cache/%FE%14
36gains136by cache/%FE%05
21gains185by cache/%FE%12
15gains87by cache/%FE%0A
17gains148by cache/%FE%04
19gains148by cache/%FE%03
10gains96by cache/%FE%05
13gains102by cache/%FE%0A
15gains87by cache/%FE%0A
20gains185by cache/%FE%02
16gains99by cache/%FE%0A
10gains96by cache/%FE%05
19stores/%FE%16,which called/%FE%16
19cache size3
13gains102by cache/%FE%0A
26gains95by cache/%FE%0A
20stores/%FE%0A,which called/%FE%0A
20cache size3
0gains111by cache/%FE%06
21gains185by cache/%FE%12
30stores/%FE%19,which called/%FE%19
30cache size1
13gains105by cache/%FE%16
26gains95by cache/%FE%0A
19gains148by cache/%FE%03
25gains96by cache/%FE%0A
19gains102by cache/%FE%0A
21gains185by cache/%FE%12
25stores/%FE%12,which called/%FE%12
25cache size2
17gains148by cache/%FE%04
13gains102by cache/%FE%0A
18gains203by cache/%FE%14
19gains108by cache/%FE%16
34gains102by cache/%FE%05
19gains148by cache/%FE%03
16gains99by cache/%FE%0A
34gains102by cache/%FE%05
32stores/%FE%1E,which called/%FE%1E
32cache size1
19gains108by cache/%FE%16
10gains96by cache/%FE%05
34gains102by cache/%FE%05
13gains102by cache/%FE%0A
15gains87by cache/%FE%0A
0gains111by cache/%FE%06
20gains185by cache/%FE%02
29gains222by cache/%FE%14
15gains87by cache/%FE%0A
19gains108by cache/%FE%16
21gains185by cache/%FE%12
25stores/%FE%1D,which called/%FE%1D
25cache size3
5gains84by cache/%FE%0A
15gains87by cache/%FE%0A
5gains111by cache/%FE%0E
19gains108by cache/%FE%16
35gains102by cache/%FE%05
15gains87by cache/%FE%0A
21gains185by cache/%FE%12
5gains84by cache/%FE%0A
25stores/%FE%11,which called/%FE%11
25cache size4
19gains148by cache/%FE%03
23gains185by cache/%FE%13
20gains185by cache/%FE%02
5gains111by cache/%FE%0E
34gains102by cache/%FE%05
15gains87by cache/%FE%0A
19gains148by cache/%FE%03
23gains185by cache/%FE%13
0gains105by cache/%FE%1F
13gains105by cache/%FE%16
19gains148by cache/%FE%03
30gains185by cache/%FE%19
10gains96by cache/%FE%05
19gains108by cache/%FE%16
20gains114by cache/%FE%0A
34gains102by cache/%FE%05
26gains95by cache/%FE%0A
5gains111by cache/%FE%0E
5gains84by cache/%FE%0A
21gains185by cache/%FE%12
36gains136by cache/%FE%05
12gains150by cache/%FE%12
19gains102by cache/%FE%0A
5gains84by cache/%FE%0A
19gains108by cache/%FE%16
25gains216by cache/%FE%12
10gains96by cache/%FE%05
35gains102by cache/%FE%05
20gains114by cache/%FE%0A
23gains185by cache/%FE%13
