20stores/%FE%02,which called/%FE%02
20cache size1
13stores/%FE%0A,which called/%FE%0A
13cache size1
17stores/%FE%04,which called/%FE%04
17cache size1
34stores/%FE%05,which called/%FE%05
34cache size1
19stores/%FE%03,which called/%FE%03
19cache size1
34gains102by cache/%FE%05
0stores/%FE%06,which called/%FE%06
0cache size1
36stores/%FE%05,which called/%FE%05
36cache size1
5stores/%FE%0E,which called/%FE%0E
5cache size1
21stores/%FE%12,which called/%FE%12
21cache size1
0gains111by cache/%FE%06
29stores/%FE%14,which called/%FE%14
29cache size1
18stores/%FE%14,which called/%FE%14
18cache size1
10stores/%FE%21,which called/%FE%21
10cache size1
21gains185by cache/%FE%12
12stores/%FE%12,which called/%FE%12
12cache size1
20gains185by cache/%FE%02
19stores/%FE%0A,which called/%FE%0A
19cache size2
19gains148by cache/%FE%03
20gains185by cache/%FE%02
17gains148by cache/%FE%04
36gains136by cache/%FE%05
34gains102by cache/%FE%05
19gains102by cache/%FE%0A
36gains136by cache/%FE%05
36gains136by cache/%FE%05
20stores/%FE%1C,which called/%FE%1C
20cache size2
0gains111by cache/%FE%06
34gains102by cache/%FE%05
13stores/%FE%16,which called/%FE%16
13cache size2
23stores/%FE%13,which called/%FE%13
23cache size1
36gains136by cache/%FE%05
0stores/%FE%1F,which called/%FE%1F
0cache size2
13gains102by cache/%FE%0A
18gains203by cache/%FE%14
18gains203by cache/%FE%14
19gains148by cache/%FE%03
29gains222by cache/%FE%14
0gains111by cache/%FE%06
20gains185by cache/%FE%02
20gains185by cache/%FE%02
23gains185by cache/%FE%13
21gains185by cache/%FE%12
21gains185by cache/%FE%12
10gains111by cache/%FE%21
20gains108by cache/%FE%1C
5gains111by cache/%FE%0E
20gains108by cache/%FE%1C
19gains148by cache/%FE%03
17gains148by cache/%FE%04
20gains185by cache/%FE%02
34gains102by cache/%FE%05
5gains111by cache/%FE%0E
34gains102by cache/%FE%05
0gains111by cache/%FE%06
34gains102by cache/%FE%05
18gains203by cache/%FE%14
36gains136by cache/%FE%05
21gains185by cache/%FE%12
17gains148by cache/%FE%04
19gains148by cache/%FE%03
13gains102by cache/%FE%0A
20gains185by cache/%FE%02
19stores/%FE%16,which called/%FE%16
19cache size3
13gains102by cache/%FE%0A
20stores/%FE%0A,which called/%FE%0A
20cache size3
0gains111by cache/%FE%06
21gains185by cache/%FE%12
30stores/%FE%19,which called/%FE%19
30cache size1
13gains105by cache/%FE%16
19gains148by cache/%FE%03
19gains102by cache/%FE%0A
21gains185by cache/%FE%12
25stores/%FE%12,which called/%FE%12
25cache size1
17gains148by cache/%FE%04
13gains102by cache/%FE%0A
18gains203by cache/%FE%14
19gains108by cache/%FE%16
34gains102by cache/%FE%05
19gains148by cache/%FE%03
34gains102by cache/%FE%05
32stores/%FE%1E,which called/%FE%1E
32cache size1
19gains108by cache/%FE%16
34gains102by cache/%FE%05
13gains102by cache/%FE%0A
0gains111by cache/%FE%06
20gains185by cache/%FE%02
29gains222by cache/%FE%14
19gains108by cache/%FE%16
21gains185by cache/%FE%12
5gains111by cache/%FE%0E
19gains108by cache/%FE%16
21gains185by cache/%FE%12
25stores/%FE%11,which called/%FE%11
25cache size2
19gains148by cache/%FE%03
23gains185by cache/%FE%13
20gains185by cache/%FE%02
5gains111by cache/%FE%0E
34gains102by cache/%FE%05
19gains148by cache/%FE%03
23gains185by cache/%FE%13
0gains105by cache/%FE%1F
13gains105by cache/%FE%16
19gains148by cache/%FE%03
30gains185by cache/%FE%19
19gains108by cache/%FE%16
20gains114by cache/%FE%0A
34gains102by cache/%FE%05
5gains111by cache/%FE%0E
21gains185by cache/%FE%12
36gains136by cache/%FE%05
12gains150by cache/%FE%12
19gains102by cache/%FE%0A
19gains108by cache/%FE%16
25gains216by cache/%FE%12
20gains114by cache/%FE%0A
23gains185by cache/%FE%13
