20stores/%FE%02,which called/%FE%02
20cache size1
17stores/%FE%04,which called/%FE%04
17cache size1
19stores/%FE%03,which called/%FE%03
19cache size1
21stores/%FE%12,which called/%FE%12
21cache size1
29stores/%FE%14,which called/%FE%14
29cache size1
18stores/%FE%14,which called/%FE%14
18cache size1
21gains185by cache/%FE%12
12stores/%FE%12,which called/%FE%12
12cache size1
20gains185by cache/%FE%02
19gains148by cache/%FE%03
20gains185by cache/%FE%02
17gains148by cache/%FE%04
23stores/%FE%13,which called/%FE%13
23cache size1
18gains203by cache/%FE%14
18gains203by cache/%FE%14
19gains148by cache/%FE%03
29gains222by cache/%FE%14
20gains185by cache/%FE%02
20gains185by cache/%FE%02
23gains185by cache/%FE%13
21gains185by cache/%FE%12
21gains185by cache/%FE%12
19gains148by cache/%FE%03
17gains148by cache/%FE%04
20gains185by cache/%FE%02
18gains203by cache/%FE%14
21gains185by cache/%FE%12
17gains148by cache/%FE%04
19gains148by cache/%FE%03
20gains185by cache/%FE%02
21gains185by cache/%FE%12
30stores/%FE%19,which called/%FE%19
30cache size1
19gains148by cache/%FE%03
21gains185by cache/%FE%12
25stores/%FE%12,which called/%FE%12
25cache size1
17gains148by cache/%FE%04
18gains203by cache/%FE%14
19gains148by cache/%FE%03
32stores/%FE%1E,which called/%FE%1E
32cache size1
20gains185by cache/%FE%02
29gains222by cache/%FE%14
21gains185by cache/%FE%12
21gains185by cache/%FE%12
25stores/%FE%11,which called/%FE%11
25cache size2
19gains148by cache/%FE%03
23gains185by cache/%FE%13
20gains185by cache/%FE%02
19gains148by cache/%FE%03
23gains185by cache/%FE%13
19gains148by cache/%FE%03
30gains185by cache/%FE%19
21gains185by cache/%FE%12
12gains150by cache/%FE%12
25gains216by cache/%FE%12
23gains185by cache/%FE%13
