22stores/%FE%12,which called/%FE%12
22cache size1
22gains100by cache/%FE%12
22gains100by cache/%FE%12
12stores/%FE%01,which called/%FE%01
12cache size1
1stores/%FE%15,which called/%FE%15
1cache size1
17stores/%FE%02,which called/%FE%02
17cache size1
18stores/%FE%02,which called/%FE%02
18cache size1
2stores/%FE%13,which called/%FE%13
2cache size1
13stores/%FE%04,which called/%FE%04
13cache size1
17gains125by cache/%FE%02
19stores/%FE%0D,which called/%FE%0D
19cache size1
12gains100by cache/%FE%01
7stores/%FE%08,which called/%FE%08
7cache size1
11stores/%FE%06,which called/%FE%06
11cache size1
20stores/%FE%0E,which called/%FE%0E
20cache size1
11gains100by cache/%FE%06
12gains100by cache/%FE%01
18gains144by cache/%FE%02
19gains75by cache/%FE%0D
20stores/%FE%0D,which called/%FE%0D
20cache size2
12gains100by cache/%FE%01
11gains100by cache/%FE%06
19gains75by cache/%FE%0D
20gains96by cache/%FE%0D
14stores/%FE%0F,which called/%FE%0F
14cache size1
18gains144by cache/%FE%02
20gains96by cache/%FE%0D
0stores/%FE%16,which called/%FE%16
0cache size1
12gains100by cache/%FE%01
12gains100by cache/%FE%01
2gains100by cache/%FE%13
13gains125by cache/%FE%04
19gains75by cache/%FE%0D
18stores/%FE%17,which called/%FE%17
18cache size2
14gains125by cache/%FE%0F
20gains96by cache/%FE%0D
19gains75by cache/%FE%0D
11gains100by cache/%FE%06
20gains75by cache/%FE%0E
17gains125by cache/%FE%02
22gains100by cache/%FE%12
12gains100by cache/%FE%01
20gains96by cache/%FE%0D
0gains100by cache/%FE%16
13gains125by cache/%FE%04
12gains100by cache/%FE%01
17gains125by cache/%FE%02
18gains144by cache/%FE%02
13gains125by cache/%FE%04
19gains75by cache/%FE%0D
20gains96by cache/%FE%0D
22gains100by cache/%FE%12
12gains100by cache/%FE%01
2gains100by cache/%FE%13
11gains100by cache/%FE%06
20gains96by cache/%FE%0D
18gains144by cache/%FE%02
22gains100by cache/%FE%12
12gains100by cache/%FE%01
7gains75by cache/%FE%08
12gains100by cache/%FE%01
17gains125by cache/%FE%02
18gains144by cache/%FE%02
12gains100by cache/%FE%01
13gains125by cache/%FE%04
17gains125by cache/%FE%02
17gains125by cache/%FE%02
20gains75by cache/%FE%0E
19gains75by cache/%FE%0D
18gains144by cache/%FE%02
17gains125by cache/%FE%02
20gains96by cache/%FE%0D
19gains75by cache/%FE%0D
12gains100by cache/%FE%01
18gains144by cache/%FE%02
14gains125by cache/%FE%0F
24stores/%FE%14,which called/%FE%14
24cache size1
12gains100by cache/%FE%01
19gains75by cache/%FE%0D
14gains125by cache/%FE%0F
18gains144by cache/%FE%02
12gains100by cache/%FE%01
22gains100by cache/%FE%12
11gains100by cache/%FE%06
12gains100by cache/%FE%01
18gains144by cache/%FE%02
20gains75by cache/%FE%0E
0stores/%FE%07,which called/%FE%07
0cache size2
12gains100by cache/%FE%01
12gains100by cache/%FE%01
12gains100by cache/%FE%01
14gains125by cache/%FE%0F
20gains75by cache/%FE%0E
18gains125by cache/%FE%17
0gains72by cache/%FE%07
11gains100by cache/%FE%06
14gains125by cache/%FE%0F
18gains144by cache/%FE%02
12gains100by cache/%FE%01
13gains125by cache/%FE%04
20gains96by cache/%FE%0D
12gains100by cache/%FE%01
12gains100by cache/%FE%01
17gains125by cache/%FE%02
24gains75by cache/%FE%14
19gains75by cache/%FE%0D
22gains100by cache/%FE%12
17gains125by cache/%FE%02
0gains72by cache/%FE%07
19gains75by cache/%FE%0D
18gains144by cache/%FE%02
11gains100by cache/%FE%06
20gains75by cache/%FE%0E
17gains125by cache/%FE%02
18gains144by cache/%FE%02
24gains75by cache/%FE%14
22gains100by cache/%FE%12
18gains144by cache/%FE%02
19gains75by cache/%FE%0D
19gains75by cache/%FE%0D
19gains75by cache/%FE%0D
13gains125by cache/%FE%04
18gains144by cache/%FE%02
